,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
187,000063.SZ,20181112,19.69,20.46,19.69,20.2,19.87,0.3299999999999983,1.6608,1607889.86,3236750.32
188,000063.SZ,20181109,19.18,20.34,19.05,19.87,19.4,0.4700000000000024,2.4227,1597735.38,3166753.247
189,000063.SZ,20181108,19.75,20.25,19.12,19.4,19.59,-0.19000000000000128,-0.9699,1848050.42,3655023.626
190,000063.SZ,20181107,18.95,20.68,18.8,19.59,19.03,0.5599999999999987,2.9427,2507227.65,4932523.666
191,000063.SZ,20181106,18.13,19.18,17.95,19.03,18.23,0.8000000000000007,4.3884,1517765.65,2805715.784
192,000063.SZ,20181105,18.06,18.57,17.9,18.23,18.34,-0.10999999999999943,-0.5998,1284426.74,2340082.349
193,000063.SZ,20181102,18.5,18.8,17.84,18.34,17.2,1.1400000000000006,6.6279,2347674.42,4297054.316
194,000063.SZ,20181101,17.2,17.71,16.98,17.2,16.93,0.2699999999999996,1.5948,1378651.72,2393929.958
195,000063.SZ,20181031,16.8,17.28,16.43,16.93,16.89,0.03999999999999915,0.2368,1036652.94,1751578.813
196,000063.SZ,20181030,17.3,17.47,15.77,16.89,17.45,-0.5599999999999987,-3.2092,1307845.23,2184412.666
197,000063.SZ,20181029,17.25,17.82,16.99,17.45,17.25,0.1999999999999993,1.1594,1148787.12,2003137.713
198,000063.SZ,20181026,17.63,17.95,16.94,17.25,17.44,-0.19000000000000128,-1.0894,1069669.02,1867454.336
199,000063.SZ,20181025,16.61,17.48,16.51,17.44,17.29,0.15000000000000213,0.8676,961229.16,1628342.68
200,000063.SZ,20181024,17.16,17.67,17.16,17.29,17.34,-0.05000000000000071,-0.2884,868575.09,1513149.505
201,000063.SZ,20181023,17.8,17.87,17.03,17.34,17.79,-0.4499999999999993,-2.5295,1285459.11,2242600.738
202,000063.SZ,20181022,16.9,18.16,16.8,17.79,16.57,1.2199999999999989,7.3627,1863799.7,3247700.195
203,000063.SZ,20181019,15.34,17.0,15.25,16.57,15.7,0.870000000000001,5.5414,1486147.65,2403836.228
204,000063.SZ,20181018,16.0,16.05,15.59,15.7,16.18,-0.4800000000000004,-2.9666,708106.13,1118965.605
