ts_code,start_date,pledge_price,forcast_close_line,close_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
000038.SZ,2018/10/8,12.28,8.596,2019/5/30,6.7337,6.429,5.3737,9.0503,2.0191,0.4252,0.9537,6.5489,0.3543,11.8796,-84.7731,-85.441,-0.7488,-12.1246,-12.1246,-36.3606,-15.5492,-36.3606,-15.5492,-84.9324,29.7842,-91.223,31.5586,1083181934
000038.SZ,2016/9/26,27.1353,18.99471,2018/1/17,9.2928,9.2926,7.9023,3.3556,2.6627,0.4447,23.7279,33.7875,6.8444,6.498,64.7132,45.8861,-9.7237,46.752,46.752,14.51,102.9801,14.51,102.9801,-26.271,10.6347,-26.0606,10.2965,453344166.6
000038.SZ,2016/9/20,27.8426,19.48982,2017/5/11,4.7447,4.2865,2.7226,1.22,1.6808,0.2471,21.6749,34.0798,3.5756,13.9366,164.0118,90.9879,-4.6903,121.5101,121.5101,81.3779,-12.9557,81.3779,-12.9557,180.968,-4.6228,48.7938,-5.3993,1068921208
000038.SZ,2016/7/4,35.782,25.0474,2017/1/16,3.1353,2.6068,2.3486,1.0305,4.5192,0.482,23.3655,40.0779,9.0009,20.0153,1264.9965,1663.8978,758.4608,236.9654,236.9654,166.048,48.6676,166.048,48.6676,1165.5095,340.483,1786.711,487.7507,455207305.7
000038.SZ,2016/9/19,27.6231,19.33617,2018/1/15,9.2928,9.2926,7.9023,3.3556,2.6627,0.4447,23.7279,33.7875,6.8444,6.498,64.7132,45.8861,-9.7237,46.752,46.752,14.51,102.9801,14.51,102.9801,-26.271,10.6347,-26.0606,10.2965,453344166.6
000038.SZ,2016/12/8,31.0988,21.76916,2017/4/24,4.0827,3.5909,2.2807,0.6074,0.9886,0.1318,20.8332,33.1585,1.8415,15.6875,149.6425,142.0543,-3.3738,174.3485,174.3485,174.3485,18.0798,174.3485,18.0798,149.6425,-16.0604,164.169,-23.0892,851439167.6
000038.SZ,2016/9/22,27.9585,19.57095,2017/5/11,4.7447,4.2865,2.7226,1.22,1.6808,0.2471,21.6749,34.0798,3.5756,13.9366,164.0118,90.9879,-4.6903,121.5101,121.5101,81.3779,-12.9557,81.3779,-12.9557,180.968,-4.6228,48.7938,-5.3993,1068921208
000038.SZ,2016/9/29,27.4462,19.21234,2018/1/16,9.2928,9.2926,7.9023,3.3556,2.6627,0.4447,23.7279,33.7875,6.8444,6.498,64.7132,45.8861,-9.7237,46.752,46.752,14.51,102.9801,14.51,102.9801,-26.271,10.6347,-26.0606,10.2965,453344166.6
000038.SZ,2016/9/27,27.1962,19.03734,2018/1/17,9.2928,9.2926,7.9023,3.3556,2.6627,0.4447,23.7279,33.7875,6.8444,6.498,64.7132,45.8861,-9.7237,46.752,46.752,14.51,102.9801,14.51,102.9801,-26.271,10.6347,-26.0606,10.2965,453344166.6
000038.SZ,2016/9/21,27.928,19.5496,2017/5/11,4.7447,4.2865,2.7226,1.22,1.6808,0.2471,21.6749,34.0798,3.5756,13.9366,164.0118,90.9879,-4.6903,121.5101,121.5101,81.3779,-12.9557,81.3779,-12.9557,180.968,-4.6228,48.7938,-5.3993,1068921208
000038.SZ,2016/8/25,28.5865,20.01055,2017/5/11,4.7447,4.2865,2.7226,1.22,1.6808,0.2471,21.6749,34.0798,3.5756,13.9366,164.0118,90.9879,-4.6903,121.5101,121.5101,81.3779,-12.9557,81.3779,-12.9557,180.968,-4.6228,48.7938,-5.3993,1068921208
000040.SZ,2018/12/21,7.8623,5.50361,2019/8/1,1.4426,1.1382,0.801,1.1993,1.6313,0.2477,1.7622,10.0058,0.6398,58.3446,-92.095,-93.5988,1.6276,46.6464,46.6464,20.238,35.2599,20.238,35.2599,-73.8339,75.0726,-67.5817,351.4533,5232670823
000040.SZ,2016/9/20,13.0057,9.10399,2018/7/6,1.7898,1.5228,1.0311,1.7064,1.186,0.2047,36.9134,18.0841,10.8742,54.8957,786.5919,794.3827,-2.1343,10.9163,10.9163,5.3478,134.688,4.5688,134.688,144.2953,-76.1947,101.7514,-78.524,5294317165
000042.SZ,2016/6/7,15.1706,10.61942,2019/5/17,1.3327,0.4016,0.1402,0.0402,19.9996,0.0581,5.1665,53.7477,2.7515,83.1139,-78.7644,-78.5619,0.9649,-59.8186,-59.8186,-77.9685,-31.1174,-77.9685,-31.1174,-112.3079,-127.3742,-117.8837,-138.8209,2389802552
000042.SZ,2017/6/1,16.742,11.7194,2018/11/30,1.4434,0.5222,0.2268,0.1555,74.2588,0.2032,5.2247,47.0812,6.5279,83.3525,-12.3771,-6.0229,5.5727,-8.2286,-8.2286,-81.3206,-23.8846,-81.3206,-23.8846,-139.5879,-394.4981,-192.7506,-897.2962,1415067296
000042.SZ,2017/5/23,16.9071,11.83497,2018/11/30,1.4434,0.5222,0.2268,0.1555,74.2588,0.2032,5.2247,47.0812,6.5279,83.3525,-12.3771,-6.0229,5.5727,-8.2286,-8.2286,-81.3206,-23.8846,-81.3206,-23.8846,-139.5879,-394.4981,-192.7506,-897.2962,1415067296
