,ts_code,start_date,is_release,release_date
1274,000158.SZ,2017-05-02,0.0,
1278,000158.SZ,2017-03-20,0.0,
1279,000158.SZ,2017-03-14,0.0,
1280,000158.SZ,2017-03-09,0.0,
1281,000158.SZ,2016-05-12,1.0,20170118
1282,000158.SZ,2016-11-21,0.0,
1283,000158.SZ,2016-01-26,1.0,20161107
1289,000159.SZ,2016-07-28,0.0,
1290,000159.SZ,2016-07-28,1.0,20190530
1291,000159.SZ,2019-05-08,0.0,
1292,000159.SZ,2018-03-30,1.0,20190327
1293,000159.SZ,2018-06-25,0.0,
1294,000159.SZ,2018-06-20,0.0,
1295,000159.SZ,2018-06-14,0.0,
1296,000159.SZ,2018-06-12,0.0,
1297,000159.SZ,2018-05-31,0.0,
1298,000159.SZ,2018-06-11,0.0,
1299,000159.SZ,2018-03-30,0.0,
1300,000159.SZ,2016-02-29,1.0,20180403
1301,000159.SZ,2018-02-08,0.0,
1302,000159.SZ,2018-02-05,0.0,
1303,000159.SZ,2017-12-08,0.0,
1304,000159.SZ,2016-07-06,1.0,20170601
1305,000159.SZ,2016-07-06,1.0,20161102
1379,000333.SZ,2016-05-25,1.0,20190603
1380,000333.SZ,2016-03-16,1.0,20190603
1382,000333.SZ,2016-01-18,1.0,20190123
1384,000333.SZ,2018-03-14,1.0,20180620
1385,000333.SZ,2018-03-14,0.0,
1386,000333.SZ,2017-12-25,0.0,
1389,000333.SZ,2017-11-01,0.0,
1393,000401.SZ,2018-02-09,1.0,20181016
1394,000401.SZ,2017-07-10,1.0,20180717
1395,000401.SZ,2018-07-17,0.0,
1396,000401.SZ,2018-05-17,0.0,
1397,000401.SZ,2018-02-09,0.0,
1398,000401.SZ,2016-06-24,1.0,20171101
1399,000401.SZ,2016-07-27,1.0,20170727
1400,000401.SZ,2016-07-27,0.0,
1401,000401.SZ,2016-07-04,1.0,20170710
1405,000401.SZ,2017-07-10,0.0,
1406,000401.SZ,2016-07-27,1.0,20170526
1407,000401.SZ,2017-03-07,1.0,20170519
1408,000401.SZ,2016-07-27,1.0,20170427
1409,000401.SZ,2016-02-24,1.0,20170307
1410,000401.SZ,2016-01-04,1.0,20170307
1415,000401.SZ,2016-02-22,1.0,20160615
