ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line
000158.SZ,2016-01-26,2016-11-07,9.1011,6.37077,False
000159.SZ,2018-03-30,2019-03-27,4.5116,3.1581199999999994,False
000159.SZ,2018-06-25,,3.5057,2.4539899999999997,False
000159.SZ,2018-06-20,,3.4459,2.41213,False
000159.SZ,2018-06-14,,3.8144,2.67008,False
000159.SZ,2018-06-12,,3.9339,2.75373,False
000159.SZ,2018-05-31,,4.1032,2.87224,False
000159.SZ,2018-06-11,,3.8642,2.7049399999999997,False
000159.SZ,2018-03-30,,4.5116,3.1581199999999994,False
000159.SZ,2018-02-08,,4.1829,2.9280299999999997,False
000159.SZ,2018-02-05,,4.4418,3.1092599999999995,False
000333.SZ,2016-03-16,2019-06-03,17.2936,12.10552,False
000333.SZ,2016-01-18,2019-01-23,16.2834,11.39838,False
000333.SZ,2018-03-14,2018-06-20,57.093999999999994,39.965799999999994,False
000333.SZ,2017-11-01,,47.9037,33.53259,False
000401.SZ,2018-02-09,2018-10-16,10.5686,7.39802,False
000401.SZ,2018-07-17,,9.1634,6.4143799999999995,False
000401.SZ,2018-05-17,,11.1834,7.82838,False
000401.SZ,2018-02-09,,10.5686,7.39802,False
000401.SZ,2016-07-27,2017-07-27,9.3293,6.53051,False
000401.SZ,2016-07-27,,9.3293,6.53051,False
000401.SZ,2016-07-27,2017-05-26,9.3293,6.53051,False
000401.SZ,2017-03-07,2017-05-19,12.7936,8.95552,False
000401.SZ,2016-07-27,2017-04-27,9.3293,6.53051,False
000401.SZ,2016-02-24,2017-03-07,9.6611,6.762769999999999,False
000401.SZ,2016-01-04,2017-03-07,9.5732,6.701239999999999,False
000401.SZ,2016-02-22,2016-06-15,9.4854,6.63978,False
000403.SZ,2019-02-15,,26.13,18.290999999999997,False
000407.SZ,2019-07-15,,3.65,2.5549999999999997,False
000407.SZ,2019-01-16,2019-06-27,3.88,2.7159999999999997,False
000407.SZ,2019-01-30,2019-06-25,3.7,2.59,False
000407.SZ,2019-03-21,2019-06-25,4.87,3.409,False
000407.SZ,2019-01-16,,3.88,2.7159999999999997,False
000407.SZ,2018-10-18,2019-04-24,3.51,2.457,False
000407.SZ,2019-01-30,,3.7,2.59,False
000407.SZ,2019-01-23,,3.89,2.723,False
000407.SZ,2018-06-26,,4.01,2.8069999999999995,False
000407.SZ,2018-05-25,2018-06-22,5.61,3.927,False
000407.SZ,2016-04-26,2018-02-08,6.5507,4.58549,False
000407.SZ,2017-07-14,2017-09-04,8.88,6.216,False
000407.SZ,2017-01-19,2017-04-14,8.42,5.893999999999999,False
000407.SZ,2016-11-08,2017-01-18,6.39,4.473,False
000408.SZ,2019-06-10,,6.54,4.577999999999999,False
000408.SZ,2019-05-08,,9.3,6.51,False
000408.SZ,2016-12-21,2018-03-19,15.0869,10.56083,False
000408.SZ,2016-12-21,2018-03-22,15.0869,10.56083,False
000408.SZ,2016-12-15,2017-12-26,14.9196,10.44372,False
000408.SZ,2016-08-12,2017-12-15,15.5494,10.88458,False
000408.SZ,2016-07-27,2017-12-15,15.450999999999999,10.815699999999998,False
000408.SZ,2016-12-21,2017-11-10,15.0869,10.56083,False
000408.SZ,2016-08-01,2017-10-31,14.4373,10.10611,False
000408.SZ,2016-08-15,2017-10-17,16.1202,11.284139999999999,False
000408.SZ,2016-12-21,2017-08-24,15.0869,10.56083,False
000408.SZ,2016-07-27,2017-07-28,15.450999999999999,10.815699999999998,False
000408.SZ,2016-08-26,2017-07-31,16.4647,11.52529,False
000408.SZ,2016-08-12,2017-07-27,15.5494,10.88458,False
000410.SZ,2017-07-04,2017-11-28,7.15,5.005,False
000413.SZ,2019-06-19,2019-08-19,4.9698,3.47886,False
000413.SZ,2019-07-04,,5.1571,3.6099699999999997,False
000413.SZ,2019-06-19,,4.9698,3.47886,False
000413.SZ,2018-08-13,,5.4529,3.8170299999999995,False
000413.SZ,2016-03-31,2016-12-07,7.3719,5.16033,False
000413.SZ,2016-06-24,2016-12-09,7.547000000000001,5.2829,False
000415.SZ,2019-01-29,,3.4,2.38,False
000415.SZ,2018-08-20,,3.4,2.38,False
000415.SZ,2018-08-07,,3.55,2.485,False
000415.SZ,2018-07-31,,4.2,2.94,False
000415.SZ,2018-08-01,,4.14,2.8979999999999997,False
000415.SZ,2018-07-19,,4.26,2.9819999999999998,False
000415.SZ,2018-07-23,,4.17,2.9189999999999996,False
000415.SZ,2018-07-20,,4.13,2.8909999999999996,False
000415.SZ,2018-07-24,,4.24,2.968,False
000419.SZ,2019-03-20,,5.08,3.5559999999999996,False
000419.SZ,2016-04-19,2017-05-02,7.5151,5.2605699999999995,False
000420.SZ,2019-04-03,,2.93,2.051,False
000425.SZ,2019-01-31,2019-08-05,3.1971,2.23797,False
000425.SZ,2018-12-26,2019-07-30,3.1774,2.22418,False
000425.SZ,2019-01-31,,3.1971,2.23797,False
000425.SZ,2019-02-01,,3.2168,2.25176,False
000425.SZ,2018-12-26,,3.1774,2.22418,False
