ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000046.SZ,2016-01-26,2018-02-05,8.4211,5.894769999999999,False,
000046.SZ,2016-11-28,2017-12-06,9.619,6.7333,True,2017-11-17
000046.SZ,2017-05-16,2017-12-06,7.893,5.525099999999999,False,
000046.SZ,2017-11-21,2017-12-06,7.0681,4.94767,False,
000046.SZ,2017-11-20,,6.5741,4.601869999999999,True,2018-07-04
000046.SZ,2017-11-21,,7.0681,4.94767,True,2018-07-03
000046.SZ,2017-11-28,,7.2486,5.074019999999999,True,2018-07-02
000046.SZ,2017-11-03,,7.3436,5.1405199999999995,True,2018-07-02
000046.SZ,2017-05-17,2017-11-03,7.977,5.5839,False,
000046.SZ,2017-10-23,,7.7046,5.3932199999999995,True,2018-06-28
000046.SZ,2017-05-17,2017-08-23,7.977,5.5839,False,
000046.SZ,2017-08-22,,7.7616,5.43312,True,2018-06-27
000046.SZ,2017-08-29,,7.8661,5.50627,True,2018-06-27
000046.SZ,2017-08-16,,7.6476,5.353319999999999,True,2018-07-02
000046.SZ,2017-07-24,,7.9801,5.586069999999999,True,2018-06-27
000046.SZ,2017-05-16,2017-07-21,7.893,5.525099999999999,False,
000046.SZ,2017-07-25,,8.0086,5.606019999999999,True,2018-06-27
000046.SZ,2017-05-24,,7.7438,5.42066,True,2018-06-27
000046.SZ,2017-05-25,,7.7904,5.4532799999999995,True,2018-06-27
000046.SZ,2017-04-18,,8.6861,6.08027,True,2018-06-19
000046.SZ,2017-04-19,,8.3968,5.87776,True,2018-06-21
000046.SZ,2016-04-25,2017-04-28,9.0272,6.31904,False,
000046.SZ,2017-04-17,,8.6487,6.0540899999999995,True,2018-06-19
000046.SZ,2017-03-07,,8.77,6.138999999999999,True,2018-06-19
000046.SZ,2016-12-16,,8.7141,6.09987,True,2018-06-19
000046.SZ,2016-09-08,,9.7123,6.79861,True,2017-11-17
000046.SZ,2016-02-02,,8.9997,6.29979,True,2018-06-19
000048.SZ,2019-04-29,,21.52,15.063999999999998,False,
000048.SZ,2017-03-16,2019-04-22,32.82,22.974,True,2017-11-16
000048.SZ,2017-11-20,2019-04-22,22.55,15.785,False,
000048.SZ,2017-12-18,2019-04-22,19.9,13.929999999999998,False,
000048.SZ,2019-01-28,,17.21,12.047,False,
000048.SZ,2017-03-16,,32.82,22.974,True,2017-11-16
000048.SZ,2017-03-16,2018-07-09,32.82,22.974,True,2017-11-16
000048.SZ,2017-05-23,2018-03-27,25.13,17.590999999999998,False,
000048.SZ,2017-12-19,2018-03-27,20.04,14.027999999999999,False,
000048.SZ,2017-12-18,,19.9,13.929999999999998,False,
000048.SZ,2017-12-05,,22.6,15.82,False,
000048.SZ,2017-11-20,,22.55,15.785,False,
000048.SZ,2017-11-16,,22.31,15.616999999999997,False,
000048.SZ,2017-05-08,,27.0,18.9,True,2018-07-04
000048.SZ,2017-03-10,,32.7,22.89,True,2017-11-16
000048.SZ,2016-03-16,2017-02-17,30.39,21.273,False,
