,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
403,000923.SZ,2017-09-13,18.29,16.01,28.58,5825.0,93.2,8.92,2018-06-08,0
404,000923.SZ,2017-08-30,18.31,16.02,28.6,3846.0,97.69,5.89,2018-06-08,0
405,000928.SZ,2017-04-24,6.42,5.61,10.03,11285.06,50.0,16.15,2018-03-23,0
406,000928.SZ,2017-04-24,6.42,5.61,10.03,6551.28,50.0,9.38,2018-03-23,0
407,000928.SZ,2017-04-24,6.42,5.61,10.03,199.76,50.0,0.29,2018-03-23,0
408,000928.SZ,2017-03-09,6.4,5.6,10.01,11285.06,50.0,16.15,2018-03-23,0
409,000928.SZ,2017-03-09,6.4,5.6,10.01,199.76,8.0,0.29,2018-03-23,0
410,000928.SZ,2017-03-09,6.4,5.6,10.01,6551.28,50.0,9.38,2018-03-23,0
411,000935.SZ,2016-11-09,23.48,20.54,36.69,19791.33,97.76,25.92,2017-11-07,0
412,000959.SZ,2017-08-25,4.64,4.06,7.25,150000.0,35.72,28.36,2018-05-28,0
413,000959.SZ,2017-08-25,4.64,4.06,7.25,150000.0,35.72,28.36,2018-05-28,0
414,000978.SZ,2017-03-22,7.12,6.23,11.12,5761.6,100.0,16.0,2018-06-19,0
415,000980.SZ,2018-08-02,4.39,3.84,6.86,53695.0,67.43,26.35,2019-08-06,0
416,000980.SZ,2018-08-01,4.55,3.98,7.11,59205.0,74.35,29.05,2019-08-06,0
417,000980.SZ,2018-06-25,4.44,3.89,6.94,53695.0,67.81,26.35,2019-08-06,0
418,000980.SZ,2018-06-25,4.44,3.89,6.94,53695.0,67.81,26.35,2019-08-06,0
419,000980.SZ,2018-06-21,4.36,3.82,6.82,33695.0,42.56,16.54,2019-08-06,0
420,000980.SZ,2017-11-23,8.04,7.03,12.56,10400.0,98.52,5.1,2018-06-19,0
421,000980.SZ,2017-11-15,9.09,7.95,14.2,10400.0,98.52,5.1,2018-06-11,0
422,000980.SZ,2017-07-25,6.77,5.92,10.58,64784.91,82.4,31.95,2018-08-17,0
423,000980.SZ,2017-07-19,7.0,6.13,10.94,10652.0,90.0,5.82,2018-08-16,0
424,000980.SZ,2017-07-12,7.67,6.71,11.99,10400.0,98.52,5.68,2018-08-06,0
425,000980.SZ,2017-07-12,7.67,6.71,11.99,10400.0,98.52,5.68,2018-08-06,0
426,000989.SZ,2018-04-11,13.37,11.69,20.88,24972.0,67.86,28.72,2018-10-18,0
427,000989.SZ,2018-04-09,13.34,11.67,20.84,24972.0,67.86,28.72,2018-10-18,0
428,000989.SZ,2018-04-03,13.38,11.71,20.91,32394.0,88.03,37.26,2018-10-18,0
429,000989.SZ,2016-12-28,12.64,11.06,19.74,27482.0,74.68,31.61,2018-10-19,0
430,000989.SZ,2016-09-13,15.23,13.33,23.8,27482.0,74.68,31.61,2018-08-08,0
431,000989.SZ,2016-09-12,15.46,13.53,24.16,27482.0,74.68,31.61,2018-08-08,0
432,000989.SZ,2016-08-25,14.64,12.81,22.87,27482.0,74.68,31.61,2018-10-17,0
